Distance Traveled (m),Odometer measure (m),GPS measure (m),ZED camera measure (m)
0,0,0,0
0.92,0.677002584,0.268481526,0.843
1.84,1.354005168,1.212949013,1.802
2.76,2.031007752,1.212949013,2.813
3.68,2.708010336,2.375508125,3.726
4.6,3.38501292,3.514578773,4.62
5.52,4.062015504,3.514578773,5.663
6.44,4.739018088,4.788098473,6.722
7.36,5.416020672,4.788098473,7.623
8.28,6.093023256,6.208769175,8.607
9.2,6.77002584,6.303691729,9.789
10.12,7.447028424,7.834271921,10.937
11.04,8.124031008,7.834271921,11.913
11.96,8.801033592,9.40551977,12.952
12.88,9.478036176,9.40551977,14.097
13.8,10.15503876,11.06327091,15.067
14.72,10.83204134,11.06327091,16.108
15.64,11.50904393,11.06327091,17.203
16.56,12.18604651,12.72373745,18.204
17.48,12.8630491,12.72373745,19.41
18.4,13.54005168,14.64811519,20.379
19.32,14.21705426,14.64811519,21.327
20.24,14.89405685,14.64811519,22.35
21.16,16.24806202,16.41377676,23.424
22.08,16.9250646,16.41377676,24.39
23,18.27906977,18.19468173,25.461
23.92,18.95607235,18.19468173,26.516
24.84,19.63307494,20.02055351,27.716
25.76,20.31007752,20.02055351,28.674
26.68,20.9870801,21.8365289,29.893
27.6,22.34108527,21.93145145,30.907
28.52,23.01808786,23.59191799,31.813
29.44,23.69509044,23.59191799,33.015
30.36,24.37209302,23.59191799,34.123
31.28,25.72609819,25.5875504,35.104
32.2,26.40310078,25.5875504,36.079
33.12,27.08010336,27.56959152,37.081
34.04,27.75710594,27.66451407,38.021
34.96,28.43410853,29.70920846,39.007
35.88,29.11111111,29.70920846,40.17
36.8,29.7881137,29.70920846,41.147
37.72,30.46511628,31.70484088,42.237
38.64,31.81912145,31.70484088,43.364
39.56,33.17312661,33.74733074,44.306
40.48,33.8501292,33.74733074,45.302
41.4,35.20413437,35.73164354,46.448
42.32,35.88113695,35.82656609,47.642
43.24,36.55813953,37.75094384,48.535
44.16,37.23514212,39.67532158,49.613
45.08,38.58914729,43.32089144,50.526
46,39.26614987,43.415814,51.601
46.92,39.94315245,45.16609941,52.754
47.84,40.62015504,45.16609941,53.91
48.76,41.29715762,46.99197119,54.869
49.68,41.97416021,46.99197119,55.803
50.6,42.65116279,49.29567724,56.843
51.52,43.32816537,49.29567724,57.856
52.44,44.00516796,49.29567724,58.815
53.36,45.35917313,51.32266831,59.733
54.28,46.03617571,51.32266831,60.716
55.2,47.39018088,53.44732262,61.613
56.12,48.06718346,53.44732262,62.793
57.04,48.74418605,55.57197692,63.788
57.96,49.42118863,55.57197692,64.998
58.88,50.09819121,55.57197692,66.097
59.8,51.45219638,57.72611248,67.216
60.72,52.12919897,57.72611248,68.413
61.64,53.48320413,59.87815562,69.436
62.56,54.16020672,59.87815562,70.583
63.48,55.51421189,61.80253337,71.492
